Nutrient, Amount, Unit
Calories,323, KCAL
Fat,15.47, G
Protein,3.41, G
Carbohydrate,42.58, G
Eicosadienoic acid,0, G
Hexanoic acid,0, G
Pentadecenoic acid,0, G
"Cis,cis,cis-octadecatrienoic n-3 acid (ALA)",0.38, G
Eicosadienoic n-3 acid,0, G
Docosatetraenoic acid,0, G
Ash,1.91, G
Starch,38.23, G
Fructose,0, G
Lactose,0, G
Galactose,0, G
Fiber,3.9, G
"Iron, Fe",0.8, MG
"Magnesium, Mg",37, MG
"Phosphorus, P",127, MG
"Sodium, Na",189, MG
"Copper, Cu",0.114, MG
"Manganese, Mn",0.249, MG
Vitamin A,0, IU
"Vitamin A, RAE",0, UG
"Carotene, beta",0, UG
"Carotene, alpha",0, UG
"Cryptoxanthin, beta",0, UG
Lycopene,0, UG
"Tocopherol, delta",0.62, MG
"Tocotrienol, gamma",0.01, MG
"Tocotrienol, delta",0.02, MG
Vitamin C,5.6, MG
Thiamin,0.18, MG
Riboflavin,0.037, MG
Vitamin K (Dihydrophylloquinone),48.6, UG
Vitamin K,16, UG
"Fatty acids, total trans",0.064, G
Saturated fatty acids,2.271, G
Octanoic acid,0.01, G
Dodecanoic acid,0.005, G
Tetradecanoic acid,0.012, G
Docosahexaenoic n-3 acid (DHA),0, G
Docosanoic acid,0.046, G
Tetradecenoic acid,0.001, G
Hexadecenoic acid,0.026, G
Eicosapentaenoic n-3 acid (EPA),0, G
Docosapentaenoic n-3 acid (DPA),0, G
Heptadecanoic acid,0.011, G
Tetracosanoic acid,0.024, G
Trans-hexadecenoic acid,0, G
Tetracosenoic cis acid,0.003, G
Cis-octadecenoic acid,7.16, G
"Cis,cis-octadecadienoic n-6 acid",4.251, G
Docosenoic cis acid,0.003, G
Heptadecenoic acid,0.008, G
"Fatty acids, total trans-monoenoic",0.033, G
Decanoic acid,0.011, G
Hexadecanoic acid,0.961, G
Octadecanoic acid,1.015, G
Eicosanoic acid,0.084, G
Octadecenoic acid,7.191, G
Octadecadienoic acid,4.298, G
Octadecatrienoic acid,0.413, G
Eicosatetraenoic acid,0.004, G
Octadecatetraenoic acid,0, G
Eicosenoic acid,0.144, G
Docosenoic acid,0.005, G
Monounsaturated fatty acids,7.379, G
Polyunsaturated fatty acids,4.727, G
Pentadecanoic acid,0.005, G
Trans-octadecenoic acid,0.031, G
Docosenoic trans acid,0.002, G
Trans-octadecadienoic acid,0.03, G
Octadecadienoic CLAs acid,0.017, G
"Cis,cis-eicosadienoic n-6 acid",0.009, G
Cis-hexadecenoic acid,0.026, G
"Cis,cis,cis-octadecatrienoic n-6 acid",0.031, G
Betaine,0.4, MG
Butanoic acid,0.085, G
Sucrose,0.21, G
Glucose (dextrose),0, G
Maltose,0, G
Water,36.63, G
Sugars,0.21, G
"Calcium, Ca",19, MG
"Potassium, K",596, MG
"Zinc, Zn",0.51, MG
"Selenium, Se",0.4, UG
Vitamin E,1.38, MG
Lutein + zeaxanthin,27, UG
"Tocopherol, beta",0.03, MG
"Tocopherol, gamma",2.36, MG
"Tocotrienol, alpha",0.01, MG
"Tocotrienol, beta",0.13, MG
Niacin,3.22, MG
Pantothenic acid,0.59, MG
Vitamin B6,0.38, MG
Choline,39.8, MG
"Fatty acids, total trans-polyenoic",0.03, G
Eicosadienoic n-6 acid,0, G
"Tocopherol, alpha",1.38, MG
Vitamin D,0,MG
Vitamin B12,0,MG
"Fluoride, F",0,MG
