Nutrient, Amount, Unit
Calories,52, KCAL
Fat,0.17, G
Protein,0.26, G
Carbohydrate,13.81, G
Caffeine,0, MG
Theobromine,0, MG
Folic acid,0, UG
"Folate, DFE",3, UG
"Vitamin D (D2 + D3), International Units",0, IU
"Fatty acids, total trans",0, G
"Alcohol, ethyl",0, G
Folate,3, UG
"Carotene, alpha",0, UG
Lycopene,0, UG
Choline,3.4, MG
"Fluoride, F",3.3, UG
Betaine,0.1, MG
Butanoic acid,0, G
Hexanoic acid,0, G
Decanoic acid,0, G
Hexadecanoic acid,0.024, G
Octadecanoic acid,0.003, G
Octadecenoic acid,0.007, G
Octadecadienoic acid,0.043, G
Octadecatrienoic acid,0.009, G
Eicosatetraenoic acid,0, G
Octadecatetraenoic acid,0, G
Eicosenoic acid,0, G
Docosenoic acid,0, G
Monounsaturated fatty acids,0.007, G
Polyunsaturated fatty acids,0.051, G
Eicosapentaenoic n-3 acid (EPA),0, G
Docosapentaenoic n-3 acid (DPA),0, G
Saturated fatty acids,0.028, G
Octanoic acid,0, G
Dodecanoic acid,0, G
Tetradecanoic acid,0.001, G
Docosahexaenoic n-3 acid (DHA),0, G
Hexadecenoic acid,0, G
"Folate, food",3, UG
Retinol,0, UG
"Selenium, Se",0, UG
Vitamin E,0.18, MG
Lutein + zeaxanthin,29, UG
"Tocopherol, beta",0, MG
"Tocopherol, gamma",0, MG
Niacin,0.091, MG
Pantothenic acid,0.061, MG
Vitamin B6,0.041, MG
Sucrose,2.07, G
Glucose (dextrose),2.43, G
Sugars,10.39, G
"Calcium, Ca",6, MG
"Potassium, K",107, MG
"Zinc, Zn",0.04, MG
Water,85.56, G
Vitamin K,2.2, UG
"Vitamin A, RAE",3, UG
"Carotene, beta",27, UG
"Tocopherol, delta",0, MG
"Cryptoxanthin, beta",11, UG
Fiber,2.4, G
"Iron, Fe",0.12, MG
"Magnesium, Mg",5, MG
"Phosphorus, P",11, MG
"Sodium, Na",1, MG
"Copper, Cu",0.027, MG
"Manganese, Mn",0.035, MG
Vitamin A,54, IU
Thiamin,0.017, MG
Riboflavin,0.026, MG
Fructose,5.9, G
Ash,0.19, G
Vitamin B12,0, UG
Cholesterol,0, MG
Phytosterols,12, MG
Maltose,0, G
Isoleucine,0.006, G
Leucine,0.013, G
Lysine,0.012, G
Cystine,0.001, G
Valine,0.012, G
Arginine,0.006, G
Histidine,0.005, G
Aspartic acid,0.07, G
Serine,0.01, G
Vitamin K (Dihydrophylloquinone),0, UG
Tryptophan,0.001, G
Threonine,0.006, G
Methionine,0.001, G
Phenylalanine,0.006, G
Tyrosine,0.001, G
Alanine,0.011, G
Glutamic acid,0.025, G
Glycine,0.009, G
Proline,0.006, G
Vitamin C,4.6, MG
Lactose,0, G
Galactose,0, G
Starch,0.05, G
"Vitamin B12, added",0, UG
"Vitamin E, added",0, MG
Vitamin D,0, UG
"Tocopherol, alpha",0.18, MG
Density,0.96,g/cm3
